chrom	start	end	CTCF	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K9me3	H4K20me1	group	probality
chr1	171911132	172211132	1.81169	4.88124	2.27851	9.58139	2.87741	5.02663	9.36521	5.89348	2.41919	4.90102	nonHub	0.225441924433832
chr1	171961701	172261701	1.79957	5.7792	1.5908	10.9613	3.94137	6.16306	10.2282	6.76473	2.2068	6.78625	nonHub	0.215453300718018
chr1	181174386	181474386	4.18688	8.1196	2.98275	6.96163	9.16474	8.97376	7.15138	7.18472	2.1277	11.4002	Hub	0.806581854182229
chr1	179073705	179373705	4.78674	11.0657	2.32746	7.9699	9.88691	9.59084	11.2712	10.2266	2.26965	5.70567	Hub	0.753126405930195
chr1	179232253	179532253	8.5313	10.1094	4.61515	3.14817	9.05974	9.07071	9.86001	9.214	2.95938	4.78841	Hub	0.931374914013439
chr1	179266409	179566409	8.41012	8.66334	5.32551	2.43991	7.99631	7.57495	7.51145	7.95539	2.8949	4.05236	Hub	0.953490847102028
chr1	199093928	199393928	8.87668	1.69098	15.4583	4.40553	3.31457	2.96073	3.16626	3.3912	3.33865	4.7198	Hub	0.753217984314977
chr1	199228801	199528801	11.5245	1.92057	15.1768	3.90418	4.30299	3.35237	3.55885	3.6943	3.395	4.60123	Hub	0.826032389657533
chr1	204247871	204547871	3.44161	3.99493	8.91337	2.82906	5.1848	6.36619	6.50558	4.79253	2.74482	6.10091	Hub	0.771324538502716
chr1	202283539	202583539	12.4031	9.97895	5.57086	7.74151	12.2607	7.78885	5.87837	8.5045	2.56223	4.44015	Hub	0.958178501279165
chr1	202352521	202652521	16.3779	11.1823	6.62812	8.16885	12.2479	9.72472	9.96222	10.5718	2.56115	5.40812	Hub	0.957030916048829
chr1	212797223	213097223	3.9021	2.93807	2.21366	2.71924	4.55264	4.13949	2.26493	2.98616	3.03252	2.75328	Hub	0.536561453018738
chr1	220104763	220404763	1.90258	3.79231	2.94848	2.00541	6.09072	3.55396	0.736394	3.21722	3.23787	2.37146	nonHub	0.440470519751245
chr1	221184636	221484636	9.62195	1.4089	8.50649	2.01655	3.14581	2.84609	1.40426	2.28481	3.27038	3.16045	nonHub	0.413467387733565
chr1	225442428	225742428	3.49614	3.81563	3.67658	2.81951	3.95798	4.2649	4.91432	3.90226	2.68685	5.43198	nonHub	0.316073649753979
chr1	225434048	225734048	2.40549	3.8375	3.53953	2.93092	3.97834	4.25952	4.90735	3.91313	2.64079	5.50208	nonHub	0.176751306529078
chr1	232661128	232961128	5.95616	20.3857	3.36638	3.51264	12.8736	12.904	10.5499	14.2539	2.52755	3.72647	Hub	0.996421745974412
chr1	227254791	227554791	5.27147	6.23256	8.56706	4.41826	6.4368	5.23437	4.88645	5.08068	3.50119	4.19181	Hub	0.842358273878216
chr1	227397131	227697131	5.0897	6.42061	6.83921	6.89319	6.54663	5.73065	5.14895	5.14185	3.24762	4.72204	Hub	0.53548365811686
chr1	232777355	233077355	3.29619	17.3682	5.6094	3.42431	11.8305	10.9896	8.78678	12.4326	3.62147	3.64593	Hub	0.988496951851785
chr1	241976387	242276387	1.68445	2.74201	5.53231	2.52029	3.87119	4.24182	4.04436	3.22674	3.0011	4.34171	nonHub	0.204652305549601
chr1	6876248	7176248	4.32018	1.4089	11.1876	2.10011	2.47615	1.9074	0.99657	2.31743	3.86366	3.76227	Hub	0.522235801983768
chr1	7978963	8278963	3.23559	27.0644	3.57012	5.15756	15.7794	11.4613	6.68794	16.0426	3.82899	5.85706	Hub	0.978569016281874
chr1	8925810	9225810	14.7601	7.66479	7.913	6.3234	9.90887	8.23665	7.98418	8.28431	3.91676	7.62521	Hub	0.932553189405104
chr1	8449265	8749265	4.096	10.0489	1.8955	6.87648	11.3811	11.2736	4.88296	8.11849	2.15045	11.6306	Hub	0.721961704774157
chr1	9616223	9916223	8.82214	5.59407	3.99841	9.26784	8.61133	6.84477	7.37207	6.79055	2.85102	8.29638	Hub	0.936414958359723
chr1	9949227	10249227	5.04123	6.14291	3.2593	10.1162	6.53323	6.11613	6.8761	5.85678	2.7329	9.26733	Hub	0.891159166877523
chr1	12232185	12532185	3.71427	8.31494	2.80164	12.4073	9.48457	5.18051	1.08949	5.85814	2.61424	4.98156	Hub	0.866841878790507
chr1	15281848	15581848	12.391	9.23113	7.14575	4.72385	9.8328	6.76706	4.35332	6.62609	3.33052	5.34846	Hub	0.671999452001645
chr1	17317752	17617752	8.09504	4.29304	10.8395	3.7856	6.08001	2.87533	0.982632	4.31409	4.23372	4.11948	Hub	0.904650459605022
chr1	18140388	18440388	2.38731	0.400878	4.13179	1.01941	0.662163	0.586299	0.326383	1.086	4.09285	2.65335	nonHub	0.10894729096149
chr1	18882252	19182252	11.064	7.1954	6.73642	3.68533	6.99664	5.42442	5.05603	6.6791	2.44032	4.69221	Hub	0.682414216327207
chr1	20421703	20721703	10.5732	8.31567	12.5539	3.37975	6.68002	5.69756	8.23739	7.68762	3.94819	4.5975	Hub	0.946729203675417
chr1	20994448	21294448	1.10883	3.6407	1.3687	9.21055	6.09715	4.03715	0.947787	2.978	2.00362	7.33437	nonHub	0.363265793764968
chr1	21593836	21893836	8.98574	5.94247	12.9864	7.36987	8.00167	5.63524	4.88993	5.80242	3.53641	5.93834	Hub	0.865279909774607
chr1	21643853	21943853	9.19175	5.71652	10.7189	8.89939	8.10453	4.77888	1.76781	4.82515	3.10025	6.05468	Hub	0.930469229755987
chr1	21093881	21393881	1.19971	5.01608	1.70583	8.26196	7.1129	5.8376	3.87013	4.5438	2.26044	9.22259	nonHub	0.260239950409235
chr1	22152731	22452731	5.9804	4.0117	11.2818	6.02816	6.06447	4.74194	5.98058	5.52378	3.28176	14.0371	Hub	0.986592387117972
chr1	22710164	23010164	8.11322	3.9563	12.4786	6.16822	7.5688	3.84018	2.3474	4.81564	2.8689	8.90416	Hub	0.976452599972373
chr1	23438446	23738446	5.88951	10.0015	3.57318	10.5881	7.75899	8.69754	10.3223	9.40021	3.56079	7.04055	nonHub	0.443753520893882
chr1	24691189	24991189	5.31995	11.4279	6.1827	7.13113	9.43957	8.71677	9.96454	9.95884	3.18315	9.88928	Hub	0.885574358670603
chr1	24171976	24471976	8.59796	3.7063	13.1528	2.99219	5.05248	4.41263	3.76095	4.71914	4.25756	5.14487	Hub	0.849312563145763
chr1	24287107	24587107	7.48307	3.53429	14.8005	3.14976	5.8625	3.52318	1.51344	3.80575	4.21151	4.92935	Hub	0.916547011710309
chr1	25837565	26137565	11.2095	16.866	5.19396	10.8793	12.6084	10.0417	9.94712	12.2138	2.56386	6.37087	Hub	0.9737383991239
chr1	25588012	25888012	8.14352	6.51828	6.69359	6.71095	9.08385	7.25026	6.75763	6.98628	3.28013	6.63636	Hub	0.831690555682726
chr1	26309893	26609893	16.3537	7.52412	10.1652	5.10424	7.56452	7.93966	10.6522	8.48547	2.95234	5.13369	Hub	0.937582430948889
chr1	26471963	26771963	14.3057	8.33972	8.46427	7.01096	8.07935	8.14125	10.1074	8.9775	2.83585	5.72357	Hub	0.910668273891311
chr1	27600293	27900293	14.5602	10.2887	5.24229	8.52934	14.664	9.52928	8.61836	10.7118	2.33467	10.2629	Hub	0.987984241145946
chr1	27509039	27809039	18.232	12.0467	3.40003	10.6287	15.6144	11.0197	12.5106	12.9722	1.94944	10.8103	Hub	0.948761887599654
chr1	27883627	28183627	5.03517	6.04961	4.60292	9.34742	5.75	7.08637	10.4408	7.61015	2.67168	5.2269	Hub	0.768121477280147
chr1	29008370	29308370	5.21088	2.18223	6.11662	3.02403	3.68851	3.02459	2.32185	3.32324	2.39644	3.95467	nonHub	0.492827330549777
chr1	30003107	30303107	3.33254	0.427117	4.86173	0.962118	0.780024	0.672474	0.296184	1.27765	2.57632	2.53254	nonHub	0.181899995249365
chr1	30931709	31231709	14.7238	9.40533	7.19163	8.13463	11.777	6.32464	3.75863	7.93636	2.83097	7.74304	Hub	0.953997036478623
chr1	30731572	31031572	8.68278	1.46211	7.63767	1.62183	2.95616	1.77198	1.21842	2.59471	3.28501	3.20147	nonHub	0.180060443959058
chr1	30790890	31090890	10.8641	5.27628	8.80507	1.99267	5.71517	3.42931	2.20686	4.72865	3.08075	3.62431	Hub	0.698829991989837
chr1	32082886	32382886	6.50148	15.2764	3.31314	10.8356	10.0048	9.93092	13.6407	12.6623	2.79033	13.7955	Hub	0.743213845874455
chr1	32573338	32873338	6.71961	5.74786	6.53941	7.6102	4.96783	6.13921	9.27461	6.85036	3.43672	4.96664	nonHub	0.344684655179553
chr1	32614758	32914758	4.45955	5.06418	6.39012	8.37098	4.0153	6.21846	10.1574	6.96045	3.55646	5.28955	nonHub	0.184193401314706
chr1	35069491	35369491	6.42271	4.49712	4.7002	5.30557	3.47314	5.15051	9.31875	6.03484	2.72477	4.15826	Hub	0.595901745535332
chr1	38169891	38469891	6.95592	9.85504	7.1433	7.05314	5.47088	6.7886	8.70663	8.58877	2.60341	4.64821	nonHub	0.453795251709233
chr1	39051298	39351298	7.13164	8.18957	4.74792	7.1367	5.59249	8.74909	14.7883	9.92079	2.80496	6.39324	nonHub	0.319547075341588
chr1	39416526	39716526	5.61685	13.3864	1.38583	18.3837	10.5357	10.8188	6.22334	9.98603	1.88713	12.0273	Hub	0.784526183399649
chr1	40065462	40365462	6.31365	6.53431	5.51273	7.61418	6.69931	7.86272	9.36753	7.74471	2.99893	8.2479	Hub	0.911534836639625
chr1	40055477	40355477	6.43483	6.5467	5.49743	7.65317	6.79842	7.88965	9.37218	7.80316	2.98755	8.27624	Hub	0.913381782025431
chr1	41948274	42248274	2.96899	3.59478	5.84496	2.03724	7.32237	5.05356	1.90487	4.34943	2.60395	3.98524	Hub	0.738816950081375
chr1	43508631	43808631	5.87739	9.67209	3.79956	11.7515	8.8117	8.63906	10.6382	10.5161	2.78058	5.95997	Hub	0.653357510026725
chr1	43156512	43456512	4.91398	14.4498	6.2965	8.71238	10.8057	9.78858	10.5058	10.8763	3.55808	5.86899	Hub	0.941339174108169
chr1	44203180	44503180	8.92515	4.83823	4.44261	6.85976	5.7516	6.74936	10.7834	7.17113	2.4647	5.03674	Hub	0.647332176370395
chr1	46271880	46571880	7.2407	7.84117	2.92891	7.95239	5.7441	8.1928	12.708	9.97379	2.27453	5.06732	nonHub	0.389072096233312
chr1	46266527	46566527	7.26494	7.86231	2.87078	8.30493	5.74196	8.18664	12.708	9.98195	2.24906	5.08298	nonHub	0.431248104286337
chr1	51650464	51950464	2.1813	5.06856	2.42597	4.04662	6.99396	6.90633	5.19192	5.21252	2.0448	5.41931	nonHub	0.291311527820302
chr1	51701155	52001155	2.18736	4.97963	2.48593	3.80311	6.89164	7.07483	6.28838	5.4164	2.04913	5.79367	nonHub	0.458810120915706
chr1	52923110	53223110	3.84757	4.14143	2.62176	7.65476	5.22659	5.8299	7.57881	5.73717	2.34876	5.66242	nonHub	0.469371330622668
chr1	52705284	53005284	2.99323	4.43808	5.69078	5.32547	5.30266	5.85914	7.60321	5.70727	3.22107	6.09644	Hub	0.627352992128451
chr1	53036359	53336359	2.98111	4.43808	2.80348	8.10996	5.96268	5.606	6.26515	5.51155	2.39319	4.34618	Hub	0.620472177191822
chr1	54920667	55220667	8.03445	3.56781	10.1218	5.03182	5.74464	4.50727	5.41377	4.8401	3.75151	4.36259	Hub	0.920505613028911
chr1	55941029	56241029	1.92076	15.2006	3.86075	2.56087	6.89485	3.34083	0.786338	5.5632	3.85012	2.30658	Hub	0.832458665140322
chr1	56934136	57234136	4.92004	1.8659	4.98348	1.46506	3.13992	2.12283	0.58656	2.13122	2.32654	2.31851	Hub	0.618442539821964
chr1	59384059	59684059	2.14494	6.12323	3.15284	2.42081	6.32912	5.19513	2.99436	4.82923	2.91658	2.69735	Hub	0.558319404994787
chr1	58828010	59128010	6.93774	11.1539	3.02864	4.2981	7.54309	7.71268	10.3978	9.84739	2.57036	3.64742	Hub	0.902532565749932
chr1	59852367	60152367	4.30807	8.10065	3.87604	1.97915	5.11837	3.47317	0.813053	4.13604	2.41377	2.35953	Hub	0.796458042268908
chr1	64005822	64305822	4.0657	4.72526	5.26983	3.30653	6.14912	4.8512	2.84685	4.09526	2.49776	5.78621	Hub	0.601502414549071
chr1	67763717	68063717	7.68908	10.2056	3.26114	5.08514	10.6616	9.19151	5.75641	8.24354	2.14233	7.56108	Hub	0.985578986882503
chr1	67584432	67884432	7.93145	3.12685	5.74584	3.57233	4.35174	4.5242	5.64259	4.19041	2.77625	4.66685	Hub	0.677424505466158
chr1	78049550	78349550	2.4782	9.83828	1.91324	9.64187	6.58574	8.73601	12.2655	8.39984	2.60666	6.89215	nonHub	0.323030246066612
chr1	84375963	84675963	1.79957	3.45265	2.17878	2.54336	5.4232	5.66987	2.83407	3.56654	2.72857	2.38637	nonHub	0.214315288187106
chr1	85553286	85853286	6.24094	23.0651	2.44494	7.76777	13.7592	16.0117	14.9799	17.2197	2.82826	11.392	Hub	0.852937342274529
chr1	85658200	85958200	5.97434	21.3063	2.59361	7.82984	11.2696	15.1222	17.4806	16.8704	3.23733	10.4068	Hub	0.753720640878758
chr1	85498370	85798370	5.68956	14.702	2.50857	7.00619	12.955	13.0663	8.21416	10.2008	2.62075	10.1704	Hub	0.939862984681893
chr1	85587909	85887909	5.6532	21.482	2.56669	7.43433	12.5302	15.1999	14.9381	16.3389	3.28609	11.2831	Hub	0.765748647348166
chr1	87363081	87663081	5.49566	4.18079	5.14318	2.51392	3.73672	5.44596	6.72743	5.0902	2.42028	3.17015	nonHub	0.42445197749769
chr1	91819239	92119239	3.05382	7.4279	4.17829	6.17299	8.64241	5.98533	1.39264	4.68108	2.7329	4.76082	Hub	0.514400466894243
chr1	94389697	94689697	2.95687	4.55908	4.37653	3.51662	5.75428	6.56778	7.70542	4.9434	3.06016	4.26042	Hub	0.731439279077377
chr1	94672116	94972116	5.43507	19.7181	2.77044	6.95287	13.1506	8.81911	7.54978	13.172	4.05005	4.9905	Hub	0.950463779508032
chr1	94868264	95168264	6.87109	20.5424	4.15137	5.10424	14.4144	10.4649	7.04684	13.0768	3.50769	6.97865	Hub	0.978027301312954
chr1	95001913	95301913	8.61007	10.6728	3.96048	4.90768	10.5416	10.6865	7.47312	9.16099	2.76433	7.34854	Hub	0.950166371237043
chr1	109288036	109588036	7.46489	11.1327	3.26909	9.13176	7.18629	9.20613	14.8522	11.2827	2.39969	7.06889	Hub	0.532624267288627
chr1	110668983	110968983	12.2516	5.73256	9.64147	4.31003	4.48889	6.11921	8.19906	6.45755	2.38614	4.59675	Hub	0.594829081753307
chr1	110834663	111134663	12.4455	0.913273	8.72859	1.26452	1.88149	1.69888	0.907135	1.85123	2.1212	2.96954	nonHub	0.156711129333856
chr1	112718549	113018549	6.79838	11.9629	3.63253	9.87185	9.24617	10.1325	10.6951	9.5538	2.60395	8.36797	Hub	0.820195382565887
chr1	115718761	116018761	7.24676	2.77335	5.33162	2.54973	5.32088	3.59397	2.38341	3.3246	3.5142	3.32825	Hub	0.561819576443102
chr1	115468807	115768807	4.76856	6.08824	3.96782	2.57201	8.47258	5.92377	2.13252	4.85234	3.50932	3.11198	nonHub	0.454370477790925
chr1	117896778	118196778	6.28335	8.42354	4.62494	3.03596	8.58723	6.47237	5.02118	5.56592	3.56513	4.76007	Hub	0.516195061413
chr1	144084429	144384429	10.5914	14.5249	4.07612	8.98852	8.81384	17.6313	26.5299	17.3325	2.7134	6.23067	Hub	0.864460326578134
chr1	148970172	149270172	7.31341	8.60284	3.11429	11.6051	6.51395	8.62983	9.73224	8.40528	2.4517	5.73326	nonHub	0.369932510818212
chr1	149575727	149875727	6.39848	7.78432	4.74486	8.68691	7.51469	8.94991	12.2492	8.62411	2.72044	7.25756	Hub	0.629361179893535
chr1	149964503	150264503	8.71914	4.37977	10.2906	4.15883	4.52907	6.36234	8.28965	6.25503	2.97347	4.70787	Hub	0.65984637500972
chr1	152268546	152568546	6.04099	7.44904	4.83848	10.9215	4.60728	7.4126	12.7336	9.02779	3.3587	7.71097	nonHub	0.182421466069166
chr1	153107844	153407844	25.9635	16.541	10.6951	7.65795	8.73348	18.5084	27.5311	18.708	2.91333	6.2441	Hub	0.92009506434187
chr1	153540385	153840385	3.56279	7.05472	1.77313	10.9876	5.56196	7.27872	12.0413	7.81675	2.50642	9.02198	Hub	0.737404893900338
chr1	154212853	154512853	18.4926	23.9842	4.09937	15.4671	12.714	16.638	23.9804	22.0326	2.76433	9.13161	Hub	0.909566324404747
chr1	160976727	161276727	4.05358	2.95192	2.45717	4.79308	4.87408	4.22874	2.60061	2.8448	2.29349	2.87856	Hub	0.661571049207647
chr1	160736776	161036776	3.02352	13.0161	1.38216	11.8216	9.44279	11.3282	10.3455	9.24662	2.15804	11.2629	nonHub	0.464946220783764
chr1	161764107	162064107	1.03006	0.235425	1.30874	0.533979	0.352511	0.476272	0.245077	0.612998	2.64459	1.40871	nonHub	0.0119311964127797
chr1	165140505	165440505	5.18059	0.448983	6.9316	0.920736	1.46308	1.74966	0.984955	1.41493	2.08164	2.48257	nonHub	0.223271281370496
chr1	170384541	170684541	3.44161	4.22744	1.8955	1.64252	4.54567	5.53906	2.7458	3.77857	2.1835	2.34834	nonHub	0.286182586730656
chr1	171057007	171357007	1.56326	9.50445	1.85695	1.97676	7.79649	5.62447	1.25094	5.36747	3.74826	2.07987	nonHub	0.25591564352836
chr1	173049960	173349960	3.38101	3.07073	3.05189	2.44469	2.36471	3.3416	5.23141	4.04361	2.19867	3.14628	nonHub	0.116495519475516
chr1	176822765	177122765	2.23583	10.2822	1.81351	6.91786	7.29772	5.45366	3.42411	5.88397	3.24437	4.96739	nonHub	0.212798610473131
chr1	178590486	178890486	5.20482	7.44467	2.0815	5.15596	6.54127	5.77528	5.64491	5.58902	3.01898	5.97712	Hub	0.700175218373992
chr1	181920371	182220371	3.03564	3.19099	3.27582	4.74533	5.67553	5.1582	2.91538	3.78673	2.475	4.10307	Hub	0.589446782927561
chr1	183526044	183826044	2.13889	3.51169	4.57783	2.63329	4.26174	4.81196	4.80398	3.56789	3.0439	2.977	nonHub	0.0846523913274456
chr1	198588164	198888164	3.82939	5.65165	2.61503	4.02275	6.41805	6.1346	4.59839	5.37155	2.49342	3.31557	nonHub	0.465684297075596
chr1	199948661	200248661	12.4576	21.2677	2.00441	18.0319	15.9482	12.9394	12.9368	17.1925	2.1873	11.0161	Hub	0.972173312415702
chr1	199239589	199539589	11.5245	1.91693	15.5635	3.86837	4.39835	3.41084	3.58789	3.69158	3.5039	4.60272	Hub	0.835903110469653
chr1	199709578	200009578	14.7783	30.5884	2.05825	14.4254	25.684	17.7367	12.5756	22.0299	2.33304	18.3833	Hub	0.973256747870541
chr1	199913664	200213664	13.3605	22.4856	1.7921	17.1924	18.0836	12.9671	10.8426	17.4385	2.21764	13.0736	Hub	0.980832069367405
chr1	199740405	200040405	14.3299	25.8297	1.95974	13.0932	23.2973	15.6677	11.7428	19.4678	2.24852	17.0357	Hub	0.9753911329684
chr1	200819765	201119765	6.5439	7.56931	10.8468	7.69694	7.00789	6.16922	7.80879	7.00395	3.10675	9.22706	Hub	0.855222012216798
chr1	200355619	200655619	11.3549	3.277	13.3437	3.78242	5.42481	4.84966	6.85171	5.31854	3.10513	5.9816	Hub	0.881372531858757
chr1	200999883	201299883	6.23488	5.64436	5.64734	9.26068	5.50302	8.9576	17.7095	9.25478	2.28049	9.22706	Hub	0.697535671553239
chr1	201571732	201871732	14.2754	15.6124	8.84607	3.52776	14.2028	9.57468	7.13512	12.0371	3.29368	4.74739	Hub	0.998369867987015
chr1	202938510	203238510	9.48865	0.543736	8.79957	1.26372	1.10093	1.03179	0.583075	1.50871	2.15154	3.40357	nonHub	0.203853360320876
chr1	202511286	202811286	12.088	12.347	6.69665	8.48796	10.6493	11.3359	13.6314	11.246	2.5839	6.699	Hub	0.900753390760686
chr1	203688529	203988529	15.6387	5.62104	10.101	5.4703	5.96	6.2	8.07942	6.82317	2.80713	6.55134	Hub	0.768885384446458
chr1	203655166	203955166	17.0747	3.92715	12.0613	4.44213	5.40231	5.05433	5.30575	5.37835	2.93283	5.11057	Hub	0.757256573526656
chr1	203882791	204182791	8.17381	4.53211	6.98973	5.49179	5.57803	5.68525	8.00392	6.13542	2.99676	5.75787	Hub	0.746105081308987
chr1	203456551	203756551	15.0328	14.0081	12.2822	5.47667	10.6225	8.58982	7.22339	9.82156	3.21078	5.59754	Hub	0.995899385129314
