chrom	start	end	group	CTCF	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K9me3	H4K20me1
chr1	109770000	109870000	Boundary	16.2689	8.32004	10.0918	5.22838	7.33201	11.5344	20.4576	10.5406	3.23462	4.60197
chr1	110790000	110890000	Boundary	15.4509	1.99637	12.8433	1.85261	4.12727	2.12591	0.682964	3.32732	2.65922	3.88382
chr1	114150000	114250000	Boundary	4.08994	6.4811	1.90529	3.15852	3.8653	8.27051	15.9521	8.56702	1.74409	3.40506
chr1	116070000	116170000	Boundary	6.72567	1.05394	6.55103	0.902433	1.42397	1.48652	0.57146	1.56172	1.60756	2.48556
chr1	118270000	118370000	Boundary	2.54485	2.21503	3.15529	4.23523	1.30665	3.97021	10.5999	4.63215	1.40113	3.06724
chr1	148430000	148530000	Boundary	10.5793	10.9615	3.39024	6.82077	6.97039	17.4343	27.9806	17.3175	2.31462	4.26191
chr1	151610000	151710000	Boundary	3.58097	0.485427	6.54369	1.03851	1.22629	1.04564	0.35542	1.12949	2.41377	3.41177
chr1	153390000	153490000	Boundary	39.5906	19.9528	3.1406	13.1497	10.4885	21.8546	30.27	21.7295	2.16508	5.24406
chr1	157330000	157430000	Boundary	8.37983	0.334551	5.46072	0.768739	0.816453	1.20261	0.672511	1.19473	1.72947	2.50793
chr1	159950000	160050000	Boundary	7.23464	7.06711	1.68869	4.70077	4.70104	8.78987	17.8302	9.35808	1.44664	4.01806
chr1	161010000	161110000	Boundary	5.59867	2.66766	3.26359	5.26419	4.17548	5.47982	6.15365	3.40887	2.19597	2.95761
chr1	163390000	163490000	Boundary	0.599857	0.233967	2.77166	0.587298	0.4693	0.537825	0.282245	0.913381	1.61406	2.15669
chr1	165870000	165970000	Boundary	9.03422	5.78795	11.1748	3.06779	5.06748	9.38771	16.6699	8.85653	2.94367	6.33582
chr1	167950000	168050000	Boundary	2.03588	2.60644	3.98128	1.96243	1.43683	2.97535	7.0422	4.00012	1.61406	2.19248
chr1	170630000	170730000	Boundary	10.2703	2.30906	5.87739	2.20356	3.60493	3.42546	4.43578	3.75546	2.08544	3.37821
chr1	173190000	173290000	Boundary	7.97992	7.71216	3.39391	4.14928	4.05977	7.69113	14.7778	9.13381	1.64494	4.01358
chr1	178030000	178130000	Boundary	14.5238	9.26684	7.30727	9.75726	7.05718	11.4536	17.9069	11.0625	2.56169	7.01594
chr1	182950000	183050000	Boundary	5.9804	5.85136	1.70154	4.85117	4.24138	5.48443	9.87162	5.50067	1.91964	3.53929
chr1	190650000	190750000	Boundary	4.16265	2.82072	1.88877	1.51599	3.62422	2.86225	0.777046	2.70752	2.5243	1.93967
chr1	194310000	194410000	Boundary	1.41784	0.852777	1.529	0.723379	1.50915	1.53269	0.442533	1.1458	1.87413	1.52579
chr1	197750000	197850000	Boundary	2.3449	0.964294	4.86784	0.880946	1.77434	1.99434	0.557522	1.12949	2.87702	2.07838
chr1	199610000	199710000	Boundary	20.9223	20.5279	13.6546	5.47906	13.3863	12.1622	16.9556	15.2787	3.97257	6.89065
chr1	200350000	200450000	Boundary	22.6128	3.83094	16.9934	5.35491	5.02247	5.27669	9.38728	7.05831	3.43617	7.21058
chr1	201430000	201530000	Boundary	21.3949	14.1452	13.326	2.64761	8.82188	6.26001	3.5542	7.21734	4.179	4.04938
chr1	202030000	202130000	Boundary	7.85268	8.98914	1.59141	16.6186	6.26323	7.50186	12.7498	8.94216	2.26098	10.8103
chr1	203510000	203610000	Boundary	15.0328	36.2561	10.3965	10.4544	18.5116	14.7383	14.0949	20.2208	3.32402	7.44549
chr1	205230000	205330000	Boundary	8.85244	2.92787	6.88877	2.54973	4.83443	6.11228	10.4431	5.36204	2.14395	3.27977
chr1	207950000	208050000	Boundary	10.0522	4.5219	5.07342	2.01734	5.14623	5.95301	5.25464	5.32126	2.07731	2.47437
chr1	211270000	211370000	Boundary	2.25401	3.05032	2.16777	4.53843	3.74958	4.16872	5.86792	3.64537	2.38777	4.83241
chr1	218150000	218250000	Boundary	1.94499	1.39506	3.0011	6.19766	1.88684	1.72427	0.784015	1.65143	1.87413	2.97998
chr1	219630000	219730000	Boundary	7.03469	2.93005	3.22871	1.48257	5.13498	4.44341	1.10459	3.37217	2.42353	2.34014
chr1	222670000	222770000	Boundary	8.23441	12.6517	2.0301	6.46266	9.62547	11.359	12.1784	10.0961	2.31625	5.59083
chr1	224430000	224530000	Boundary	6.96198	4.12613	4.48789	4.61721	3.50046	4.75733	9.1782	5.60669	2.2431	5.86153
chr1	226350000	226450000	Boundary	13.3968	13.686	4.06571	8.61131	9.54993	11.4651	23.8445	14.1411	2.39752	8.91534
chr1	227670000	227770000	Boundary	8.48889	5.14509	1.55286	11.5168	4.05012	6.06843	12.931	7.84121	1.6742	4.75187
chr1	229410000	229510000	Boundary	6.08946	3.0372	3.53708	7.84257	2.37704	4.2726	8.8193	5.75756	2.54056	4.13887
chr1	232510000	232610000	Boundary	8.45254	5.61302	4.52093	4.19703	3.54386	5.46135	10.6556	6.94822	2.22847	2.78087
chr1	234270000	234370000	Boundary	7.9981	5.94539	6.12886	5.00874	6.04465	7.3195	8.66598	6.37736	4.48296	4.92413
chr1	238910000	239010000	Boundary	6.30759	5.26098	3.48569	2.35158	5.8775	4.57267	1.1464	3.61683	3.25087	2.63769
chr1	241250000	241350000	Boundary	0.109065	1.98763	4.34288	4.14212	2.6583	2.38213	2.04889	2.44248	3.1566	2.91958
chr1	245550000	245650000	Boundary	11.2337	6.29306	2.99743	5.88253	6.43037	7.26641	8.15027	6.87482	3.5467	4.39839
chr1	7890000	7990000	Boundary	11.4155	11.3135	5.70485	9.85275	8.20954	7.60111	9.2235	9.66797	3.27363	6.04722
chr1	12190000	12290000	Boundary	12.8333	2.99784	4.24927	14.2336	4.25745	3.70246	5.23722	4.61176	2.8754	6.27765
chr1	17570000	17670000	Boundary	12.7788	6.26244	7.94788	11.4141	5.52392	5.89761	9.53362	7.89422	3.00381	7.31125
chr1	24790000	24890000	Boundary	7.70726	6.94248	6.09398	10.1989	4.84247	5.47982	10.6626	8.84022	3.01844	6.44321
chr1	44190000	44290000	Boundary	14.7965	10.0081	2.4945	12.0802	9.63029	14.759	25.8446	14.5203	1.55392	7.4701
chr1	46550000	46650000	Boundary	10.7793	4.82366	5.96733	9.32037	3.82833	4.72963	7.5823	6.67094	3.87667	4.66909
chr1	63710000	63810000	Boundary	2.89022	3.26898	1.21145	2.98424	2.29989	4.03946	7.45686	4.41196	1.44826	2.46542
chr1	85470000	85570000	Boundary	15.4145	23.342	2.6395	7.20036	13.5904	16.1555	17.4539	16.8772	2.34876	6.4544
chr1	92150000	92250000	Boundary	2.12677	1.6815	4.75955	2.18207	2.66955	1.93894	0.85719	2.41801	2.75187	3.065
chr1	95310000	95410000	Boundary	3.14471	5.94539	5.73422	2.35874	3.32689	5.86299	10.0946	6.54862	2.74211	2.78311
chr1	112990000	113090000	Boundary	21.0495	15.5643	3.6619	13.1044	10.196	15.0753	22.7678	15.0015	2.27561	7.21505
chr1	117590000	117690000	Boundary	2.49032	1.68369	6.97321	1.68072	2.58597	2.11668	0.700387	2.23452	2.75187	2.76074
chr1	152190000	152290000	Boundary	7.08922	18.9579	3.29112	10.2085	7.16004	21.0698	39.5806	23.5603	3.04444	6.69154
chr1	164110000	164210000	Boundary	10.1976	17.6153	2.73311	6.32181	11.305	5.62755	1.30321	7.99616	2.28049	4.99125
chr1	178670000	178770000	Boundary	10.2521	14.178	1.80984	7.56325	7.8672	8.82449	10.5023	9.65574	3.68487	6.82801
chr1	183910000	184010000	Boundary	4.23536	1.74273	3.61784	1.30113	2.69848	5.07126	4.65879	2.97257	2.24798	2.10075
chr1	188630000	188730000	Boundary	2.61756	0.743446	1.46109	0.589685	1.21022	4.61884	4.66228	1.92462	0.978513	1.33786
chr1	209470000	209570000	Boundary	7.47095	7.90896	2.20264	7.5537	3.61136	7.19486	14.9869	9.16643	1.61568	4.17019
chr1	216430000	216530000	Boundary	1.21789	2.25439	4.11711	1.11491	1.9222	3.2962	6.08744	3.2213	2.04643	2.06496
chr1	231490000	231590000	Boundary	2.83569	1.76241	4.88069	1.68788	2.33204	3.52703	4.67273	2.52403	1.84975	2.62874
chr1	234750000	234850000	Boundary	3.61732	4.65966	1.48679	11.5573	2.66633	5.9484	12.2829	6.52823	1.1947	3.42072
chr1	242630000	242730000	Boundary	2.98111	6.0088	1.43539	6.44356	4.32013	7.37259	7.79485	5.98999	2.27561	3.99345
chr10	9350000	9450000	Boundary	4.12629	0.555398	2.86894	0.876172	0.832525	0.814817	0.282245	0.958235	2.41052	1.73609
chr10	102710000	102810000	Boundary	44.753	25.1504	4.163	12.3905	13.5904	22.5725	36.5107	24.9793	1.62544	8.3538
chr10	7670000	7770000	Boundary	6.56208	2.86883	4.29883	1.90752	2.83509	2.01281	0.752655	2.01841	5.1949	2.2059
chr10	13290000	13390000	Boundary	6.12582	3.6079	6.08848	4.46203	3.40403	4.99739	6.48468	4.89719	3.01519	3.75406
chr10	16830000	16930000	Boundary	6.65296	4.93955	2.31645	6.5128	4.8939	5.98764	7.37671	6.6057	2.17971	8.33143
chr10	18950000	19050000	Boundary	1.90864	8.67427	3.2232	5.49577	6.09769	11.2782	18.9139	11.1645	2.49505	4.42299
chr10	22250000	22350000	Boundary	3.41737	2.48836	2.01175	1.69743	3.25135	4.76426	7.21991	4.26516	1.61568	4.07846
chr10	24870000	24970000	Boundary	5.12605	1.87611	3.13326	9.07208	3.21599	1.95972	0.57146	2.21413	1.6807	4.33574
chr10	28810000	28910000	Boundary	1.67233	7.34919	3.51505	9.24158	6.06233	6.63164	12.7394	8.57926	2.92091	15.3429
chr10	30910000	31010000	Boundary	8.27076	3.03282	7.45045	2.86009	6.89967	5.15204	1.83982	4.09798	3.16473	4.291
chr10	35350000	35450000	Boundary	2.69027	5.67862	3.00845	8.52775	6.0559	5.06433	5.93412	5.623	2.55844	6.02261
chr10	37210000	37310000	Boundary	1.07247	0.323618	1.88877	0.873784	0.568946	0.674013	0.327544	0.676881	3.76776	1.67568
chr10	54190000	54290000	Boundary	8.32529	0.387029	5.2478	0.8141	0.819668	0.82405	0.362389	1.20697	1.89689	2.17906
chr10	69730000	69830000	Boundary	5.03517	10.8237	1.93282	12.646	4.15459	7.96813	15.419	11.2949	2.66734	8.19719
chr10	71810000	71910000	Boundary	9.25235	5.76827	13.1021	7.12158	6.41591	9.05532	12.2968	7.87383	3.02494	9.19276
chr10	73750000	73850000	Boundary	19.0318	13.089	2.07416	10.0867	9.00831	6.51623	9.91344	10.5895	2.38289	5.4029
chr10	76630000	76730000	Boundary	14.5965	17.8143	5.84802	9.85992	13.4747	12.5269	14.1611	14.7731	4.46183	7.92425
chr10	79390000	79490000	Boundary	10.6702	9.05693	1.99523	20.3883	7.51684	8.39054	11.9379	9.99418	2.51293	8.66925
chr10	86230000	86330000	Boundary	9.23417	2.19754	3.26726	3.1418	4.37317	3.8548	1.25791	2.78907	2.83639	3.67352
chr10	90950000	91050000	Boundary	8.70702	8.42281	3.81608	3.13464	7.84631	10.1494	7.14325	7.51093	2.30487	3.43638
chr10	92990000	93090000	Boundary	8.12534	4.4738	3.89134	3.64554	4.90033	4.06024	1.6865	3.36809	2.76487	2.89944
chr10	94190000	94290000	Boundary	1.96317	2.5802	1.4978	11.82	3.10349	1.74736	0.937334	2.68306	1.83999	4.41852
chr10	96270000	96370000	Boundary	1.05429	3.26679	1.29222	6.21437	2.24525	4.14103	8.63462	4.47312	1.56855	3.4319
chr10	101370000	101470000	Boundary	3.52643	9.84192	2.13289	10.144	6.70681	8.56597	12.2481	7.72704	2.62183	4.14782
chr10	102230000	102330000	Boundary	17.7049	3.44828	7.41741	11.5215	4.78943	7.95428	11.6418	7.30297	2.29187	5.40961
chr10	106070000	106170000	Boundary	7.12558	10.9964	4.21439	3.78879	9.0517	13.1409	14.6768	11.3112	1.95052	8.51488
chr10	113990000	114090000	Boundary	7.61637	2.67203	5.11381	1.41572	3.82994	2.63835	0.951272	2.41801	3.18423	2.47437
chr10	121670000	121770000	Boundary	0.999762	1.13704	2.61197	5.60081	1.68594	1.25339	0.529646	1.47609	2.26911	3.22832
chr10	131830000	131930000	Boundary	9.8522	1.72742	1.61527	7.71604	2.68722	1.92278	1.63424	2.70344	3.95144	5.32683
chr10	1070000	1170000	Boundary	3.85363	7.38636	1.07195	17.2274	5.3198	7.60573	18.2832	8.73421	1.73922	7.97571
chr10	6450000	6550000	Boundary	8.398	6.95122	6.78415	1.90036	5.28123	4.44572	1.54015	3.78808	4.02296	3.52363
chr10	32650000	32750000	Boundary	9.74314	9.0941	2.4688	4.07289	6.21662	10.7819	16.9278	10.9402	2.04643	12.1683
chr10	52190000	52290000	Boundary	1.127	0.478867	6.37482	0.85946	1.25522	1.17029	0.442533	0.96639	2.23985	2.09628
chr10	62130000	62230000	Boundary	1.83593	2.35279	7.22651	1.87171	2.85277	4.91429	3.488	3.03373	2.2171	2.94419
chr10	65290000	65390000	Boundary	5.78044	0.314871	2.89831	0.80455	0.695914	0.821742	0.344967	1.03979	1.99604	2.05377
chr10	75510000	75610000	Boundary	6.23488	9.28652	1.57122	20.9828	7.31112	9.11533	16.7291	9.90448	1.83349	10.7812
chr10	81550000	81650000	Boundary	0.0545325	4.1305	6.23716	2.81712	2.43972	4.21027	9.93434	4.98282	1.80261	3.53705
chr10	88110000	88210000	Boundary	12.5061	3.97963	9.8807	6.16424	5.67821	5.76835	4.95498	4.12652	3.14197	4.38272
chr10	88630000	88730000	Boundary	16.3779	7.94832	3.20301	8.55163	10.7875	7.20178	4.96543	8.23674	2.79088	4.90847
chr10	98070000	98170000	Boundary	18.3229	0.651609	8.25074	1.25338	1.62969	1.72658	0.850221	1.81045	2.2301	3.07395
chr10	103830000	103930000	Boundary	14.1239	26.4601	2.13289	18.5428	9.09028	20.5482	31.3955	23.0262	2.20572	12.4144
chr10	105390000	105490000	Boundary	18.9955	21.0658	2.95521	11.7269	20.3953	15.7631	10.8438	17.3705	2.15045	9.69166
chr10	112750000	112850000	Boundary	4.07176	0.590384	5.29552	2.9341	1.65219	2.1513	1.00354	1.25998	3.54508	2.55491
chr10	115890000	115990000	Boundary	1.21789	1.77334	6.73091	2.89113	1.74702	4.15718	7.76001	3.1479	2.22035	3.27082
chr10	120730000	120830000	Boundary	2.72662	4.40601	6.88326	14.1739	5.88714	6.1446	7.61366	5.6964	3.55158	13.0072
chr10	127410000	127510000	Boundary	1.56326	4.50222	1.65749	13.8134	2.15524	3.52241	8.76006	6.02261	1.41576	4.30666
chr11	29350000	29450000	Boundary	1.89046	0.297379	3.11858	0.799775	0.740915	0.828667	0.299668	0.905226	1.97328	1.80992
chr11	61830000	61930000	Boundary	13.1242	2.79886	9.84766	2.43752	4.31692	4.26567	3.0594	4.33856	2.85427	3.94199
chr11	84930000	85030000	Boundary	1.79957	3.19901	3.18282	1.73563	1.35165	4.74117	8.63811	4.34672	1.99766	2.2059
chr11	107990000	108090000	Boundary	8.10716	3.29084	2.95705	5.12334	4.2012	4.56575	4.41488	3.96342	2.80876	2.92182
chr11	470000	570000	Boundary	12.2698	12.9447	4.1942	13.4004	8.95527	16.2987	33.1238	17.3257	3.00868	8.28221
chr11	3650000	3750000	Boundary	1.36331	8.59337	1.41153	23.3701	5.57696	2.83686	0.867643	4.00827	2.26586	6.05393
chr11	8510000	8610000	Boundary	4.10811	2.24127	3.75734	4.08482	3.58082	3.21079	2.30675	2.62597	1.8595	3.07171
chr11	12230000	12330000	Boundary	18.5956	25.4412	2.14758	6.95446	13.6724	8.38592	2.83988	13.7578	2.64296	4.25968
chr11	14470000	14570000	Boundary	1.78139	5.28284	3.97577	5.4337	2.12471	6.23924	15.2796	9.01556	2.23173	3.65563
chr11	18910000	19010000	Boundary	0.454437	0.146503	3.83811	0.754415	0.54966	0.609382	0.303153	0.84814	2.04643	2.28197
chr11	26430000	26530000	Boundary	1.19971	0.207728	1.77129	0.532388	0.414655	0.517051	0.243916	0.725812	1.49378	1.4542
chr11	27430000	27530000	Boundary	3.29013	4.50222	2.36234	4.34027	3.94566	7.08175	14.6768	7.24588	1.78473	4.43642
chr11	35350000	35450000	Boundary	9.16146	3.23181	4.14831	9.55194	5.77625	4.84505	2.41128	3.93896	3.06557	4.82793
chr11	47770000	47870000	Boundary	2.19948	6.13343	2.66153	11.7101	4.96783	5.24207	8.67295	6.51599	2.84777	5.04047
chr11	56290000	56390000	Boundary	2.49032	0.157436	1.02607	0.525226	0.303759	0.574758	0.243916	0.562708	3.00543	1.4184
chr11	60230000	60330000	Boundary	6.48937	0.841844	8.26175	1.48018	2.32239	1.58809	0.623728	2.02656	3.33865	3.29543
chr11	63750000	63850000	Boundary	25.2849	28.9157	6.99707	13.5413	13.1613	32.288	64.561	32.7186	2.23498	7.16807
chr11	65750000	65850000	Boundary	22.9764	27.3785	4.96696	14.2193	10.9321	22.3809	38.5213	26.2679	2.13582	8.14126
chr11	67930000	68030000	Boundary	7.48913	5.00296	2.02643	13.5341	7.5988	6.37081	8.1677	5.68417	2.9843	19.654
chr11	71090000	71190000	Boundary	0.745277	4.72526	9.6586	3.63599	4.30888	5.00662	6.01427	5.08068	4.77391	4.22388
chr11	72670000	72770000	Boundary	36.355	33.103	3.04149	16.4825	24.439	21.5038	17.6351	24.9916	1.61731	17.4727
chr11	74670000	74770000	Boundary	8.7252	11.2938	7.4945	7.24572	14.7508	9.5816	5.69718	9.04818	2.9713	7.15241
chr11	76250000	76350000	Boundary	5.45325	1.19389	1.98605	2.71924	2.32561	2.47677	1.39032	2.2386	2.42028	3.74735
chr11	77930000	78030000	Boundary	2.16312	5.2741	4.6072	3.3137	4.29281	5.9507	7.37323	5.61485	4.23914	3.11422
chr11	81890000	81990000	Boundary	0.708922	0.317058	1.20962	0.682793	0.438763	0.542442	0.400719	0.664648	2.80225	1.47209
chr11	85670000	85770000	Boundary	3.4719	3.17277	2.15125	5.69631	3.16456	3.77632	6.03517	4.54652	2.60233	3.7921
chr11	89230000	89330000	Boundary	0.036355	0.198981	1.19126	0.642208	0.446799	0.600149	0.372843	0.550475	5.46797	1.38261
chr11	95110000	95210000	Boundary	4.9261	5.30908	3.19751	5.6414	3.01991	6.29694	13.5791	6.35289	1.62056	3.70261
chr11	98430000	98530000	Boundary	0.817987	0.185862	0.570852	0.48464	0.216971	0.480119	0.362389	0.371061	3.92055	1.0515
chr11	106750000	106850000	Boundary	0.836165	1.20482	1.52717	3.28743	1.19254	2.42368	4.2511	2.18967	1.49865	2.07167
chr11	109250000	109350000	Boundary	6.3803	1.8127	4.0804	1.19847	3.09384	3.28928	1.28578	2.30792	2.84939	2.10747
chr11	116070000	116170000	Boundary	14.3057	5.05544	7.42108	8.17203	4.5371	6.41236	12.6557	8.3713	2.15208	4.63553
chr11	117790000	117890000	Boundary	4.7625	5.74203	1.66667	13.2643	4.54675	8.6029	11.0703	6.7525	1.57667	10.8371
chr11	120910000	121010000	Boundary	6.92563	10.3908	5.77827	4.72942	7.65505	3.96791	0.99657	5.52922	2.8689	3.09408
chr11	122390000	122490000	Boundary	10.5611	13.9068	5.53047	17.607	7.99739	9.40848	13.4816	13.8761	2.92741	11.4859
chr11	125210000	125310000	Boundary	8.03445	2.24565	7.2724	2.46617	2.25168	4.29106	7.72516	4.13876	2.8819	3.27306
chr11	129170000	129270000	Boundary	1.79957	1.96795	6.26836	10.2204	3.14688	2.45599	1.15337	2.63413	2.98593	4.47893
chr11	130250000	130350000	Boundary	12.0153	11.6612	2.98458	10.4329	6.40948	6.94095	5.50204	8.0247	2.6966	4.20822
chr11	2110000	2210000	Boundary	26.9572	1.01459	15.8572	1.86216	2.91705	2.10514	2.3172	2.52811	2.86402	4.54828
chr11	12870000	12970000	Boundary	11.4882	4.32948	6.27203	11.4451	5.99	2.84147	0.766593	3.28246	2.71773	6.85933
chr11	20450000	20550000	Boundary	0.745277	0.854963	2.50367	2.20833	1.3629	0.957929	0.386781	1.34153	2.04968	2.42292
chr11	32790000	32890000	Boundary	3.83545	3.43953	6.45375	2.36829	2.9058	5.35056	9.7183	4.61584	2.68197	4.61763
chr11	34370000	34470000	Boundary	2.29036	3.41767	6.79332	6.68708	3.08902	4.17334	6.24076	4.14691	3.32564	4.34693
chr11	66990000	67090000	Boundary	8.50707	7.05618	7.14758	6.34568	5.93375	9.16842	17.0602	9.06041	3.83603	4.58855
chr11	77470000	77570000	Boundary	3.05382	7.57441	2.32379	8.22217	6.84503	5.98302	6.99342	6.68725	2.25936	4.34469
chr11	86270000	86370000	Boundary	6.16217	6.47673	4.45852	3.07257	7.66952	9.26537	9.04928	5.92067	2.66409	3.75183
